,Author,summaries
41,Divya Mahajan,"Divya Mahajan is a researcher with a focus on computer architecture, specifically in the areas of accelerator architectures, approximate computing, and machine learning acceleration. Her research contributions have been significant in the field of high-performance computing, with a focus on developing efficient and scalable acceleration techniques for various applications, including deep learning, recommendation systems, and database analytics.

Some of her notable research contributions include the development of a unified template-based framework for accelerating statistical machine learning (Tabla), a language support for approximate hardware design (Axilog), and a benchmark suite for approximate computing across the system stack (AxBench). Her work has also explored the use of memristor-based computing, heterogeneous acceleration pipelines, and cross-domain multi-acceleration techniques. Additionally, she has investigated the use of machine learning and analytics accelerators in relational database systems and developed methods for integrating these accelerators with database systems. Her research has been published in top-tier conferences and journals, including ACM SIGOPS Operating Systems Review."
42,Doug Blough,"Doug Blough is a researcher with a broad range of interests in computer science and engineering. His key research areas include algorithm design, approximation algorithms, artificial intelligence, computer networks, computer security, distributed algorithms, distributed systems, fault tolerance, graph theory, machine learning, network optimization, network security, and wireless networks. 

Blough's notable publications demonstrate his expertise in developing efficient algorithms for various problems, including wireless link scheduling, fault diagnosis, and data obfuscation. His work on topology control in ad hoc networks, such as the k-neigh protocol and the k-neighbors approach, has contributed significantly to the field. Additionally, his research on fault-tolerant systems, including voting strategies and fault-injection-based testing, has improved the reliability of distributed systems. His work on data obfuscation and privacy preservation has also made significant contributions to the field of information security. Overall, Blough's research has had a substantial impact on the development of efficient algorithms, fault-tolerant systems, and secure data storage solutions."
43,Duen Horng Chau,"Duen Horng Chau is a researcher with a diverse range of interests and contributions in the fields of computer science, artificial intelligence, and data analysis. His research focuses on developing novel algorithms and techniques for anomaly detection, graph analysis, and visual analytics, with applications in areas such as cybersecurity, healthcare, and social media.

Some of his notable contributions include the development of methods for detecting adversarial attacks on deep learning models, designing scalable systems for fraud detection in online auction networks, and creating interactive visual tools for exploring large-scale graph data. His work on visual analytics has led to the development of tools such as ActiVis and FairVis, which enable users to explore and understand complex data in a more intuitive and interactive way. Chau's research has also explored the application of machine learning and graph analysis to real-world problems, such as detecting insider threats in corporate databases and predicting fire risk in urban areas. Overall, his work has had a significant impact on the development of novel algorithms and techniques for data analysis and visualization, and has opened up new avenues for research in these areas."
44,Elizabeth M. Cherry,"Elizabeth M. Cherry is a researcher with a broad range of interests in biophysics, biomedical engineering, and computational biology. Her key research areas include cardiac electrophysiology, cardiac modeling, and computational simulations. Cherry has made significant contributions to the understanding of cardiac dynamics, particularly in the areas of action potential modeling, anisotropic media, and bidomain formulation. Her work has focused on developing and validating computational models of cardiac tissue electrophysiology, which has led to a better understanding of cardiac arrhythmias and their termination.

Cherry's research has also explored the application of computational methods, such as machine learning and reservoir computing, to predict and analyze cardiac dynamics. Her work has been published in numerous papers, including studies on spiral wave breakup, cardiac alternans, and arrhythmia termination. Cherry has also developed and applied computational models to understand the effects of pacing site and stimulation history on cardiac dynamics. Her research has been recognized for its impact on the field of cardiac electrophysiology, and she has contributed to the development of new computational tools and methods for simulating cardiac dynamics."
45,Elizabeth Qian,"Elizabeth Qian's research contributions span multiple areas, including Antenna Design, Autonomous systems, Bayesian Inference, and Computational Science. Her work focuses on developing efficient and accurate methods for solving complex problems in these fields. Notable publications include ""Lift & learn: Physics-informed machine learning for large-scale nonlinear dynamical systems"" and ""Transform & Learn: A data-driven approach to nonlinear model reduction,"" which demonstrate her expertise in machine learning and model reduction techniques. Her research also explores the application of these methods to real-world problems, such as autonomous systems and radiation protection.

Qian's work has significant impact within her field, particularly in the areas of scientific machine learning, model reduction, and uncertainty quantification. Her research has the potential to improve the efficiency and accuracy of simulations in various fields, including aerospace and plasma physics. Additionally, her work on autonomous systems and radiation protection has practical applications in fields such as robotics and space exploration. Overall, Qian's contributions have the potential to advance our understanding of complex systems and improve the development of efficient and accurate methods for solving real-world problems."
46,Ellen Zegura,"Ellen Zegura is a prominent researcher in the field of computer networks, with a focus on active networking, delay-tolerant networks, and network performance. Her research contributions span various areas, including network architecture, routing protocols, and network optimization. 

Some of her notable research areas include developing novel routing protocols for delay-tolerant networks, designing efficient caching mechanisms for peer-to-peer networks, and exploring the use of message ferrying for data delivery in sparse mobile ad hoc networks. Her work on active networking has led to the development of architectures for ATM switching systems and the creation of a node OS for active networks. Additionally, she has investigated the impact of large-scale deployment of parallel downloading and the effect of large-scale deployment of parallel downloading on network performance. Her research has also explored the use of small-world graphs to add structure to unstructured peer-to-peer networks."
47,Eric M Gold,"Eric M Gold's research contributions span various areas, including angiogenesis, animal models, behavioral science, blood-brain barrier, brain imaging, cancer research, cell culture, cell homing, cellular MRI, and traumatic brain injury. His work focuses on understanding the underlying mechanisms of traumatic brain injury, its effects on the brain, and potential therapeutic interventions.

Gold's research has explored the role of gliosis, macrophage and microglial responses, and the blood-brain barrier in traumatic brain injury. He has also investigated the use of stem cells, including human neural stem cells, in repairing damaged brain tissue and restoring cognitive function. Additionally, his work has examined the effects of repeated mild traumatic brain injuries on white matter pathology and behavioral deficits. Gold's research has employed various imaging techniques, such as diffusion tensor imaging, dynamic contrast-enhanced MRI, and phase contrast MRI, to study the microenvironment and vascular injury in traumatic brain injury. His findings have implications for the development of novel therapeutic strategies and diagnostic tools for traumatic brain injury."
48,Felix J. Herrmann,"Felix J. Herrmann is a researcher with a broad range of interests in computational mathematics, computational physics, and geophysics. His work focuses on developing novel algorithms and techniques for solving inverse problems, particularly in seismic imaging and data recovery. Herrmann's research contributions can be broadly categorized into three areas: 

1.  Computational Seismology and Geophysics: Herrmann has made significant contributions to the development of efficient algorithms for seismic data processing, imaging, and inversion. His work on curvelet frames, compressive sensing, and randomized sampling has led to improved methods for seismic data recovery, denoising, and imaging. Herrmann has also developed novel techniques for full-waveform inversion, including methods for mitigating local minima and expanding the search space.

2.  Computational Mathematics and Optimization: Herrmann's research has also focused on developing efficient optimization methods for solving inverse problems. He has worked on developing novel optimization algorithms, including those based on stochastic optimization, manifold learning, and tensor factorization. Herrmann has also explored the use of machine learning and deep learning techniques for seismic data processing and imaging.

3.  Algorithm Design and Code Generation: Herrmann has developed several software tools and frameworks for seismic data processing and imaging, including Devito, a domain-specific language for finite differences and geophysical exploration. He has also developed Sparco, a testing framework for sparse reconstruction, and has contributed to the development of Julia, a high-performance programming language.

Herrmann's research has had a significant impact on the field of computational seismology and geophysics, and his work has been widely cited and recognized. His contributions have improved the efficiency and accuracy of seismic data processing and imaging, and have opened up new possibilities for solving complex inverse problems in geophysics."
49,Florian Schaefer,"Florian Schaefer's research contributions span a wide range of areas in computational mathematics, machine learning, and numerical analysis. His key research areas include Adjoint Methods, Adversarial learning, Approximation Algorithms, Bayesian inference, Computational Fluid Dynamics, Deep Learning, Game Theory, Gaussian Processes, High-dimensional distributions, Information Geometry, Kernel methods, Kullback-Leibler Divergence, Lagrangian Methods, Linear algebra, Low-rank learning, Machine Learning, Matrix factorization, Maximum likelihood estimation, Multiresolution analysis, Neural Networks, Nonlinear Programming, Numerical Analysis, Optimization, Parallel Computing, Partial differential equations, Physics-informed networks, Preconditioning, Quasilinear complexity, Regularization Techniques, Reinforcement Learning, Resampling methods, Semidefinite Programming, Sparse Approximation, Sparse Cholesky factorization, Sparse Matrix Factorization, Sparse Matrix Inverse, Sparse Reconstruction, Spatial Statistics, Statistical estimation, Statistical inference, Stochastic gradient descent, Transport maps, Turbulence Modeling, Uncertainty quantification, Variational Methods, Variational inference, and Wavelet analysis.

Notable publications by Florian Schaefer include research on Competitive Gradient Descent, Sparse Cholesky Factorization, Compression and inversion of dense kernel matrices, Implicit competitive regularization in GANs, Competitive physics-informed networks, Zero initialization of neural networks, Sparse recovery of elliptic solvers, Multiscale Cholesky preconditioning, Statistical numerical approximation, and Variational sparse inverse Cholesky approximation for latent Gaussian processes. His work has made significant contributions to the development of efficient algorithms for solving complex problems in machine learning, numerical analysis, and computational mathematics. The impact of his research is evident in the wide range of applications, including image processing, computer vision, computational fluid dynamics, and reinforcement learning."
50,Frank Dellaert,"Frank Dellaert is a prominent researcher in the field of Artificial Intelligence, Computer Vision, and Robotics. His research contributions span various areas, including 3D Modeling, 3D Reconstruction, 3D Scene Understanding, and Autonomous Systems. Dellaert's work focuses on developing probabilistic and graphical models for solving complex problems in robotics and computer vision.

Some of his notable research contributions include the development of the Incremental Smoothing and Mapping (iSAM) algorithm, which enables efficient and robust simultaneous localization and mapping (SLAM) in real-time. He also proposed the iSAM2 algorithm, which further improves the efficiency and accuracy of SLAM. Additionally, Dellaert's work on factor graphs and graphical models has led to the development of various algorithms for SLAM, tracking, and motion planning. His research has also explored the application of probabilistic methods to problems in robotics, computer vision, and machine learning. Dellaert's contributions have had a significant impact on the field of robotics and computer vision, and his work continues to influence research in these areas."
51,Frank Li,"Frank Li's research contributions span multiple areas, including computer security, artificial intelligence, and human-computer interaction. His work focuses on developing novel solutions to address various security threats, such as authentication, data breaches, and malware. 

Some of his notable research areas include developing secure authentication protocols, analyzing the impact of security patches, and designing effective notification systems for web vulnerability remediation. His work on IoT security, particularly in the context of smart home devices, has also been significant. Additionally, he has explored the intersection of human-computer interaction and security, examining how users interact with security notifications and how this affects their behavior. His research has been published in various top-tier conferences and journals, demonstrating the influence and scope of his work within the field."
52,Fred Chong,"Fred Chong is a prominent researcher in the field of computer architecture, with a focus on quantum computing, hardware security, and compiler design. His research contributions span multiple areas, including quantum computing, hardware security, and compiler design. 

Chong's work has explored various aspects of quantum computing, such as quantum circuit optimization, quantum error correction, and quantum programming languages. He has also made significant contributions to hardware security, including the development of secure information flow tracking and enforcement mechanisms. Additionally, Chong has worked on compiler design and optimization for quantum computing, as well as the development of tools and frameworks for compiling and analyzing quantum programs. His research has been published in numerous top-tier conferences and journals, and has had a significant impact on the field of quantum computing and hardware security."
53,Glen Chou,"Glen Chou's research contributions span multiple areas, including Artificial Intelligence, Computer Vision, and Control Theory. His work focuses on developing novel methods for learning constraints from demonstrations, which enables robots and autonomous systems to safely navigate complex environments. Chou's research has led to the development of constraint learning algorithms that can infer constraints from suboptimal demonstrations, providing probabilistic guarantees on safety and reachability.

Notable publications include papers on using control synthesis to generate corner cases for autonomous driving, learning constraints from locally-optimal demonstrations under cost function uncertainty, and planning with learned dynamics. His work has also explored the application of contraction theory and Gaussian processes in constraint learning and motion planning. Chou's research has the potential to significantly impact the field of robotics and autonomous systems, enabling the development of safer and more reliable systems that can operate in complex and uncertain environments."
54,Greg Turk,"Greg Turk is a renowned researcher in the field of computer science, with a focus on computer graphics, computer vision, and robotics. His research contributions span a wide range of areas, including 3D modeling, 3D reconstruction, active contour models, algorithm design, and computational geometry. 

Turk's notable publications include work on texture synthesis, surface reconstruction, and physics-based simulation. His research on graph cut textures and variational implicit surfaces has had a significant impact on the field of computer graphics. Additionally, his work on rigid fluid animation, feature-based surface parameterization, and terrain synthesis has been influential in the areas of computer animation and computer vision. His research has also explored the intersection of computer science and robotics, including topics such as robot learning, robot-assisted dressing, and physics-inspired topology changes. Overall, Turk's contributions have had a lasting impact on the field of computer science, and his work continues to be cited and built upon by researchers today."
55,Haesun Park,"Haesun Park is a researcher with a broad range of interests in bioinformatics, biomedical engineering, and computational biology. Her work focuses on developing novel algorithms and methods for data analysis, clustering, and dimensionality reduction. Specifically, she has made significant contributions to nonnegative matrix factorization (NMF), sparse NMF, and graph clustering. Her research has been applied to various fields, including microarray data analysis, text classification, and protein structure prediction.

Park's notable publications include papers on orthogonal nonnegative matrix t-factorizations for clustering, sparse nonnegative matrix factorization for clustering, and symmetric nonnegative matrix factorization for graph clustering. Her work has also explored the application of NMF to interactive topic modeling and document clustering, as well as the development of novel algorithms for dimension reduction and clustering. Overall, Park's research has had a significant impact on the fields of bioinformatics and biomedical engineering, and her contributions have paved the way for further advances in data analysis and machine learning."
56,Harish Ravichandar,"Harish Ravichandar is a researcher with a broad range of interests in artificial intelligence, robotics, and human-computer interaction. His key research areas include adaptive control, adaptive systems, artificial intelligence, automation, and human-centered automation. He has made significant contributions to the development of novel algorithms and frameworks for robot learning, human intention inference, and task allocation in multi-agent systems.

Some of his notable research contributions include the development of a unified framework for task assignments in large teams of heterogeneous agents (STRATA), a method for learning partially contracting dynamical systems from demonstrations, and a framework for learning reactive motion policies in multiple task spaces from human demonstrations. His work has also focused on human-robot collaboration, including the development of algorithms for human intention estimation and safe trajectory tracking control. Additionally, he has explored the use of machine learning and deep learning techniques for tasks such as motion planning, motion prediction, and object tracking. His research has the potential to impact various fields, including robotics, artificial intelligence, and human-computer interaction, and has the potential to improve the safety and efficiency of human-robot collaboration."
57,Helen Xu,"Helen Xu is a researcher with a broad range of interests in computer science, particularly in algorithm optimization, cache efficiency, and high-performance computing. Her work focuses on developing efficient algorithms and data structures for various applications, including graph analysis, sparse matrix operations, and multicore processing. 

Xu's research contributions include the development of novel data structures, such as packed compressed sparse row and hierarchical graph containers, which improve the performance of graph analysis and storage. She has also explored cache-adaptive analysis and optimization techniques, including cache-oblivious and cache-adaptive exploration, to improve the efficiency of algorithms on modern multicore architectures. Additionally, Xu has worked on developing efficient algorithms for sparse matrix and tensor operations, as well as parallel algorithms for accurate floating-point prefix sums. Her work has been recognized through several publications in top-tier conferences and journals, demonstrating her expertise in the field of computer science and her ability to make significant contributions to the development of efficient algorithms and data structures."
58,Henrik Iskov Christensen,"Henrik Iskov Christensen is a prominent researcher in the field of robotics, artificial intelligence, and computer vision. His research contributions span multiple areas, including 3D modeling, 3D perception, 3D reconstruction, activity recognition, and human-robot interaction. Christensen has made significant contributions to the development of autonomous systems, including autonomous mobile robots, and has explored the application of robotics in various domains, such as healthcare, domestic settings, and public health.

Christensen's research has focused on developing novel algorithms and techniques for tasks such as 3D reconstruction, object recognition, and visual servoing. He has also investigated the use of machine learning and deep learning in robotics, including the application of convolutional neural networks for tasks such as object detection and tracking. Additionally, Christensen has explored the human-robot interaction aspect, including the development of user-centered design principles for robots and the evaluation of human-robot interaction experiences. His work has been published in numerous top-tier conferences and journals, and he has been recognized for his contributions to the field of robotics and artificial intelligence."
59,Humphrey Shi,"Humphrey Shi's research contributions span multiple areas, including Computer Vision, Deep Learning, and Artificial Intelligence. His key research areas include semantic segmentation, object detection, image super-resolution, and person re-identification. Shi has made notable contributions to the development of attention mechanisms, adversarial training, and transfer learning.

Some of his notable publications include CCNet: Criss-Cross Attention for Semantic Segmentation, HigherHRNet: Scale-Aware Representation Learning for Bottom-Up Human Pose Estimation, and SpotTune: Transfer Learning through Adaptive Fine-tuning. These works have demonstrated the effectiveness of his approaches in improving the performance of various computer vision tasks. Shi's research has also explored the application of deep learning techniques to real-world problems, such as agriculture and traffic monitoring. His work has been recognized through numerous publications in top-tier conferences and journals, and has been cited over 19,000 times."
60,Hyesoon Kim,"Hyesoon Kim is a researcher with a broad range of interests in computer architecture, parallel computing, and memory systems. Her research contributions can be summarized into several key areas: 

1. **Parallel Computing and Memory Systems**: Kim's work focuses on optimizing memory access and bandwidth in parallel computing systems, including GPUs, heterogeneous multiprocessors, and edge devices. She has developed techniques for adaptive mapping, prefetching, and memory management to improve performance and efficiency.

2. **GPU Architecture and Performance Modeling**: Kim has made significant contributions to understanding GPU architecture and performance modeling. Her work includes developing analytical models for GPU architectures, power and performance modeling, and performance analysis frameworks for identifying potential benefits in GPGPU applications.

3. **Memory-Centric Computing and Near-Data Processing**: Kim's research explores memory-centric computing and near-data processing (NDP) to improve memory access and reduce latency. She has proposed techniques for efficient processing in runahead execution engines, transparent hardware management of stacked DRAM, and memory safety.

4. **Parallel Programming and Performance Optimization**: Kim's work also focuses on parallel programming and performance optimization. She has developed tools and techniques for dynamic data-dependence profiling, performance analysis, and tuning for GPGPU applications.

Kim's research has been published in top-tier conferences and journals, with over 900 citations. Her work has significant implications for the design and optimization of parallel computing systems, memory systems, and GPU architectures."
61,HyunJoo Oh,"HyunJoo Oh is a researcher with a diverse range of interests and contributions in the fields of Human-Computer Interaction, Assistive Technology, and Sustainable Computing. Her work focuses on developing innovative solutions that combine art, technology, and social impact. 

Some of her notable research contributions include the development of 3D printed electronic papercrafts, which enable the creation of interactive and tactile devices. She has also explored the use of paper-based interfaces for sensing and actuation, and has designed various tools and kits for teaching physical computing and electronics to children and adults. Her work on assistive technology has focused on creating devices that can help individuals with visual impairments and dementia. Additionally, she has investigated the potential of sustainable materials and design methods for reducing electronic waste and promoting a circular economy."
62,Irfan Essa,"Irfan Essa is a renowned researcher with a broad range of interests in computer vision, machine learning, and human-centered research. His key research areas include 3D deep learning, 3D modeling, activity recognition, animation, anomaly detection, artificial intelligence, assistive technology, and ubiquitous computing. Essa has made significant contributions to the development of algorithms and systems for various applications, such as ambient assisted living, ambient intelligence, and human-computer interaction.

Notable publications by Essa include research on graphcut textures, video textures, and facial expression recognition using a dynamic model and motion energy. He has also explored the use of wearable devices and inertial sensing for recognizing eating moments and human activities. Additionally, Essa has worked on developing systems for tracking and recognizing multiple people with multiple cameras, and for automated surgical skill assessment in robotic minimally invasive surgery training. His research has had a significant impact on the field of computer vision and machine learning, and has paved the way for various applications in areas such as healthcare, education, and entertainment."
63,James Hays,"James Hays is a researcher with a broad range of interests in computer graphics, computer vision, and machine learning. His key research areas include 3D modeling, 3D perception, 3D reconstruction, and 3D tracking, as well as deep learning techniques such as generative adversarial networks and attention mechanisms. Hays has made significant contributions to the field of computer vision, particularly in the areas of image and video analysis, object recognition, and scene understanding.

Some of his notable publications include work on the Microsoft COCO dataset, which has become a benchmark for object detection and image segmentation tasks. He has also developed methods for image and video geolocalization, as well as techniques for generating realistic images and videos from sketches and textures. Additionally, Hays has explored the use of deep learning for tasks such as image completion, image deconvolution, and image synthesis. His research has had a significant impact on the field of computer vision, and his work has been widely cited and built upon by other researchers."
64,James M. Rehg,"James M. Rehg is a prominent researcher in the field of computer vision and robotics. His research contributions span a wide range of topics, including 3D scene understanding, action recognition, activity segmentation, and machine learning. He has made significant contributions to the development of novel algorithms and techniques for tracking and recognizing objects, scenes, and activities in various domains, such as robotics, human-computer interaction, and autonomous driving.

Rehg's research has focused on developing robust and efficient methods for 3D scene understanding, including 3D reconstruction, scene recognition, and object detection. He has also explored the use of machine learning and deep learning techniques for action recognition, activity segmentation, and rare event detection. His work has been applied to various real-world problems, including robotics, human-computer interaction, and autonomous driving. Some of his notable publications include ""Ego4d: Around the world in 3,000 hours of egocentric video"" and ""3d-rcnn: Instance-level 3d object reconstruction via render-and-compare"". His research has had a significant impact on the field of computer vision and robotics, and his work continues to be widely cited and influential."
65,Jan van den Brand,"Jan van den Brand's research contributions span a wide range of areas, including Algorithm Design, Approximation Algorithms, Computational Complexity, Graph Algorithms, and Machine Learning. His work focuses on developing efficient algorithms for various problems, such as graph algorithms, linear programming, and machine learning. 

Notable publications include a deterministic linear program solver in nearly linear time, minimum cost flows and ℓ1-regression in nearly linear time, and bipartite matching in nearly-linear time on moderately dense graphs. His research also explores dynamic graph algorithms, including dynamic matrix inverse, dynamic graph sparsifiers, and dynamic shortest paths. Additionally, he has made contributions to machine learning, including training overparametrized neural networks in near-linear time and instance-level segmentation of vehicles by deep contours. His work has significant implications for various fields, including computer science, optimization, and machine learning, and has the potential to improve the efficiency and scalability of algorithms in these areas."
66,Jennifer G. Kim,"Jennifer G. Kim is a researcher with a diverse range of interests and expertise in accessibility, assistive technology, and autism research. Her work focuses on developing innovative solutions to support individuals with autism and other neurodevelopmental disorders, with a particular emphasis on promoting independence, social skills, and employment opportunities. 

Kim's research has explored various topics, including the use of social networks, virtual reality, and wearable biosensors to support individuals with autism. Her notable publications include studies on medical crowdfunding, personalized academic paper recommendation systems, and the design of inclusive workplaces. Her work has also investigated the use of collective endorsements, social support systems, and virtual reality to promote credibility, belonging, and participation in medical support communities. Through her research, Kim aims to address the needs of individuals with autism and other neurodevelopmental disorders, and to promote inclusive and accessible design practices in various fields."
67,Jessica Roberts,"Based on the provided information, Jessica Roberts' research contributions span a wide range of areas, including Accessibility, Artificial Intelligence, Cognitive Science, Computer Science Education, Data Science, Education, Embodied Cognition, Human-Computer Interaction, Informal Learning, Learning Sciences, Museum Informatics, Public Health, Science Education, and Social Justice. Her work focuses on designing and evaluating interactive technologies, exhibits, and educational tools to promote learning, accessibility, and social justice.

Some of her notable research areas include developing embodied interaction designs for museum exhibits, creating accessible ocean science data sonifications, and designing digital tools to foster scientific curiosity and promote learning in informal settings. Her work also explores the role of technology in promoting social justice, particularly in the areas of health information and public policy. Notable publications include ""Interpreting data from within: supporting human-data interaction in museum exhibits through perspective taking"" and ""Data literacy for social justice."" Her research has the potential to impact various fields, including education, public health, and social justice, and has the scope to influence the design of interactive technologies and educational tools."
68,Jimeng Sun,"Jimeng Sun is a prominent researcher in the field of Artificial Intelligence, Machine Learning, and Biomedical Informatics. His research contributions span various areas, including Anomaly Detection, Attention Mechanisms, Autoencoders, Big Data, Biomedical Informatics, Clinical Decision Support, Clinical Studies, Computer Vision, Data Analysis, Data Mining, Data Science, Deep Learning, Dimensionality Reduction, Distributed Learning, Electronic Health Records, Expertise networks, Feature Selection, Federated learning, Generative Adversarial Networks, Graph Analysis, Graph Convolutional Networks, Graph Neural Networks, Graph Theory, Graph-based Recommendation, Healthcare Analytics, Healthcare Informatics, Healthcare predictive modeling, High-Dimensional Data, Homomorphic encryption, Incremental Learning, Influence Propagation, Information Retrieval, Information Theory, Knowledge Discovery, Low Rank Decompositions, Machine Learning, Map-Reduce, Massive open online courses (MOOCs), Matrix Decompositions, Matrix Decompositions, Medical Imaging, Medical Imaging, Medical Informatics, Medical ontologies, Medical ontologies, Medical research, Medical research, Memory Optimization, Metric Learning, Molecular representation learning, Multi-Relational Data, Multi-Way Arrays, Multifaceted Relations, Multilabel Classification, Multilevel structure, Multimodal Data, Multimodal Learning, Natural Language Processing, Natural Language Processing, Network Analysis, Network Analysis, Network Structure, Neural networks, Neural networks, Patient Cohort Identification, Patient similarity learning, Pattern Discovery, Personalized Medicine, Personalized course recommendation, Precision medicine, Predictive Analytics, Predictive Modeling, Predictive healthcare, Predictive healthcare, Predictive modeling, Preference Modeling, Privacy-preserving, Probabilistic Modeling, Random Walk, Random Walk, Recommendation Systems, Recommendation systems, Recommender Systems, Recurrent Neural Networks, Recurrent Neural Networks, Recurrent Neural Networks, Recurrent neural networks, Reinforcement Learning, Reinforcement learning, Rule Identification, Scalable Computing, Scientific computing, Signal Processing, Social Influence, Social Network Analysis, Social Network Analysis, Social Network Analysis, Social Network Analysis, Sparse Data, Sparse Data, Spatial Databases, Statistical Information, Stratified medicine, Streaming Algorithms, Sub-structural pattern mining, Supervised Learning, Temporal Databases, Temporal Graphs, Temporal Models, Temporal Prediction, Temporal relations, Tensor Analysis, Tensor Analysis, Tensor Decompositions, Tensor factorization, Tensor factorization, Tensor factorization, Therapeutics, Time Series Analysis, Time Series Analysis, Time-Evolving Graphs, Topic Modeling, Topic modeling, Transformer-based Models, Unsupervised learning, Unsupervised learning, User profiling, Visual Analytics.

Some of his notable publications include RETAIN: An Interpretable Predictive Model for Healthcare using Reverse Time Attention Mechanism, Doctor ai: Predicting clinical events via recurrent neural networks, Social influence analysis in large-scale networks, Using recurrent neural network models for early detection of heart failure onset, Generating multi-label discrete patient records using generative"
69,John Stasko,"John Stasko is a prominent researcher in the field of Human-Computer Interaction, with a focus on Information Visualization, Algorithm Animation, and Software Visualization. His research contributions have significantly impacted the design and evaluation of interactive visualizations, particularly in the areas of algorithm animation, information visualization, and software visualization.

Stasko's work has explored various aspects of visualization, including the role of interaction in information visualization, the effectiveness of animation in trend visualization, and the design of ambient information systems. He has also developed several frameworks and systems for algorithm animation, such as Tango, and has investigated the use of visualization in various domains, including sports analytics and fault localization. Additionally, Stasko has conducted extensive research on the cognitive and social aspects of information visualization, including the mental models, visual reasoning, and interaction that underlie human understanding of complex data.

Stasko's research has been widely recognized, with numerous publications in top-tier conferences and journals in the field of Human-Computer Interaction. His work has also been influential in shaping the design and evaluation of interactive visualizations, and has had a significant impact on the development of visualization tools and techniques. Overall, Stasko's contributions have advanced our understanding of the role of interaction in information visualization and have provided valuable insights into the design of effective visualizations for various applications."
70,Jon R. Lindsay,"Jon R. Lindsay is a prominent researcher in the field of cybersecurity, artificial intelligence, and international relations. His work focuses on the intersection of technology, strategy, and politics, with a particular emphasis on the challenges and opportunities presented by emerging technologies such as artificial intelligence, quantum computing, and cyber operations.

Lindsay's research explores a wide range of topics, including the impact of China on cybersecurity, the limits of cyber warfare, and the feasibility of deterrence against cyberattacks. He has also written extensively on the role of artificial intelligence in war, the importance of human judgment in strategic decision-making, and the potential consequences of quantum computing for international security. Through his work, Lindsay seeks to provide a nuanced understanding of the complex relationships between technology, strategy, and politics, and to identify the key challenges and opportunities that arise from the increasing use of technology in international relations.

Some of his notable publications include ""Stuxnet and the limits of cyber warfare,"" ""Weaving tangled webs: offense, defense, and deception in cyberspace,"" and ""Cross-Domain Deterrence: Strategy in an Era of Complexity."" These works demonstrate Lindsay's expertise in the field and his ability to provide insightful analysis of the complex issues surrounding cybersecurity, artificial intelligence, and international relations."
71,Joseph Jaeger,"Joseph Jaeger's research contributions span various areas in cryptography and cybersecurity, including adaptive security, algebraic structures, and computational complexity. His work focuses on developing secure cryptographic protocols and mechanisms that can withstand adaptive attacks, which are a significant threat in modern computing systems. Jaeger's research emphasizes the importance of formal verification and provable security in cryptography, aiming to bridge the gap between theoretical and practical security guarantees.

Jaeger's notable publications demonstrate his expertise in various areas, such as authenticated encryption, public-key encryption, and secure messaging systems. His work on ""Ratcheted encryption and key exchange: The security of messaging"" and ""Optimal channel security against fine-grained state compromise: The safety of messaging"" showcases his focus on secure communication and messaging systems. Additionally, his research on ""Handling adaptive compromise for practical encryption schemes"" and ""Memory-tight multi-challenge security of public-key encryption"" highlights his efforts to develop secure and efficient cryptographic protocols that can withstand adaptive attacks. Overall, Jaeger's research has a significant impact on the field of cryptography and cybersecurity, contributing to the development of more secure and reliable cryptographic protocols and mechanisms."
